treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Pet Scan,pet-scan,Digestive System/ GI,digestive-system-gi,6,1,0.1667,2002,2023,3,3,0,1,0,https://apellica.com/appeal-outcomes/california-imr/pet-scan/digestive-system-gi
Diabetic Medication,diabetic-medication,Cardiac/Circ Problem,cardiac-circ-problem,5,3,0.6000,2022,2025,4,1,0,5,3,https://apellica.com/appeal-outcomes/california-imr/diabetic-medication/cardiac-circ-problem
Pain Medication,pain-medication,Infectious Disease,infectious-disease,5,0,0.0000,2018,2024,5,0,0,3,0,https://apellica.com/appeal-outcomes/california-imr/pain-medication/infectious-disease
Hyperbaric O2 Chamb,hyperbaric-o2-chamb,Endocrine/Metabolic,endocrine-metabolic,5,3,0.6000,2009,2022,4,1,0,3,2,https://apellica.com/appeal-outcomes/california-imr/hyperbaric-o2-chamb/endocrine-metabolic
Bariatric Lap Band,bariatric-lap-band,Digestive System/ GI,digestive-system-gi,5,2,0.4000,2006,2018,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-lap-band/digestive-system-gi
Electric Scooter,electric-scooter,Cardiac/Circ Problem,cardiac-circ-problem,5,0,0.0000,2004,2014,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/electric-scooter/cardiac-circ-problem
Liposuction,liposuction,Orth/Musculoskeletal,orth-musculoskeletal,5,1,0.2000,2006,2024,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/liposuction/orth-musculoskeletal
Revision Procedures,revision-procedures,Post Surgical Comp,post-surgical-comp,5,2,0.4000,2007,2020,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/revision-procedures/post-surgical-comp
X-Ray,x-ray,Orth/Musculoskeletal,orth-musculoskeletal,5,2,0.4000,2010,2024,3,2,0,2,1,https://apellica.com/appeal-outcomes/california-imr/x-ray/orth-musculoskeletal
Anti-Fungal,anti-fungal,Skin Disorders,skin-disorders,5,2,0.4000,2002,2021,5,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/anti-fungal/skin-disorders
MRI,mri,Genetic Diseases,genetic-diseases,5,4,0.8000,2018,2020,3,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mri/genetic-diseases
Weight Control,weight-control,Mental Disorder,mental-disorder,5,3,0.6000,2006,2025,4,1,0,3,3,https://apellica.com/appeal-outcomes/california-imr/weight-control/mental-disorder
Implant Removal,implant-removal,Trauma/ Injuries,trauma-injuries,5,0,0.0000,2015,2024,4,0,1,4,0,https://apellica.com/appeal-outcomes/california-imr/implant-removal/trauma-injuries
Elect Bone Stim,elect-bone-stim,Cardiac/Circ Problem,cardiac-circ-problem,5,2,0.4000,2011,2022,0,5,0,1,1,https://apellica.com/appeal-outcomes/california-imr/elect-bone-stim/cardiac-circ-problem
General Anesthesia,general-anesthesia,Cancer,cancer,5,1,0.2000,2015,2022,5,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/general-anesthesia/cancer
IVIG Therapy,ivig-therapy,Genetic Diseases,genetic-diseases,5,2,0.4000,2019,2025,5,0,0,3,1,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/genetic-diseases
Epidural Injection,epidural-injection,CNS/ Neuromusc Dis,cns-neuromusc-dis,5,4,0.8000,2015,2025,4,1,0,3,3,https://apellica.com/appeal-outcomes/california-imr/epidural-injection/cns-neuromusc-dis
