issuer_name,state,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,external_reviews,external_review_overturn_rate,claims_year,apellica_page
Regence BlueCross BlueShield of Utah,UT,58383,487,8.34146926331295,0.1232,11,,2024,https://apellica.com/insurer-denial-rates/utah/regence-bluecross-blueshield-of-utah
Capital Health Plan,FL,35255,257,7.289746135299958,0.3385,,,2024,https://apellica.com/insurer-denial-rates/florida/capital-health-plan
"Summa Insurance Company, Inc.",OH,51591,319,6.183249016301293,0.768,,,2024,https://apellica.com/insurer-denial-rates/ohio/summa-insurance-company-inc
Regence BlueCross BlueShield of Oregon,OR,100498,616,6.129475213437083,0.1429,47,,2024,https://apellica.com/insurer-denial-rates/oregon/regence-bluecross-blueshield-of-oregon
"USAble HMO, Inc.",AR,123118,686,5.5718903815851455,0.3207,0,0,2024,https://apellica.com/insurer-denial-rates/arkansas/usable-hmo-inc
UnitedHealthcare Insurance Company,MO,203531,1119,5.497933975659728,0.345,,,2024,https://apellica.com/insurer-denial-rates/missouri/unitedhealthcare-insurance-company
UnitedHealthcare Insurance Company,KS,167716,915,5.455651219919387,0.3148,,,2024,https://apellica.com/insurer-denial-rates/kansas/unitedhealthcare-insurance-company
"UnitedHealthcare of Wisconsin, Inc.",WI,113541,594,5.231590350622243,0.4108,,,2024,https://apellica.com/insurer-denial-rates/wisconsin/unitedhealthcare-of-wisconsin-inc
Sanford Health Plan,ND,28533,147,5.151929344968983,0.6531,,,2024,https://apellica.com/insurer-denial-rates/north-dakota/sanford-health-plan
"HMO Partners, Inc.",AR,248827,1247,5.011514023799668,0.2911,,,2024,https://apellica.com/insurer-denial-rates/arkansas/hmo-partners-inc
CareSource West Virginia Co.,WV,198752,993,4.996176139108034,0.0655,54,0.3148,2024,https://apellica.com/insurer-denial-rates/west-virginia/caresource-west-virginia-co
"UnitedHealthcare of Texas, Inc.",TX,2550560,12386,4.856188444890534,0.3498,67,0.3134,2024,https://apellica.com/insurer-denial-rates/texas/unitedhealthcare-of-texas-inc
"UnitedHealthcare of Florida, Inc.",FL,719832,3373,4.6858155791907,0.2615,18,,2024,https://apellica.com/insurer-denial-rates/florida/unitedhealthcare-of-florida-inc
"UnitedHealthcare of South Carolina, Inc.",SC,88229,403,4.567659159686725,0.3102,,,2024,https://apellica.com/insurer-denial-rates/south-carolina/unitedhealthcare-of-south-carolina-inc
"UnitedHealthcare of Ohio, Inc.",OH,208089,944,4.536520431161667,0.3496,21,,2024,https://apellica.com/insurer-denial-rates/ohio/unitedhealthcare-of-ohio-inc
Anthem Ins Companies Inc(Anthem BCBS),IN,267110,1174,4.39519299165138,0.3058,,,2024,https://apellica.com/insurer-denial-rates/indiana/anthem-ins-companies-inc-anthem-bcbs
Scott and White Health Plan,TX,1205777,5246,4.350721567918446,0.6018,170,0.8,2024,https://apellica.com/insurer-denial-rates/texas/scott-and-white-health-plan
"Molina Healthcare of Texas, Inc.",TX,237126,996,4.200298575440905,0.5472,21,0.6667,2024,https://apellica.com/insurer-denial-rates/texas/molina-healthcare-of-texas-inc
"UnitedHealthcare of North Carolina, Inc",NC,339054,1407,4.149781450742359,0.3738,,,2024,https://apellica.com/insurer-denial-rates/north-carolina/unitedhealthcare-of-north-carolina-inc
"UnitedHealthcare of Arizona, Inc.",AZ,646181,2607,4.034473313204814,0.3809,33,,2024,https://apellica.com/insurer-denial-rates/arizona/unitedhealthcare-of-arizona-inc
University of Utah Health Insurance Plans,UT,122297,482,3.941225050491835,0.3216,,,2024,https://apellica.com/insurer-denial-rates/utah/university-of-utah-health-insurance-plans
"UnitedHealthcare of Oklahoma, Inc.",OK,59525,218,3.6623267534649306,0.1972,0,0,2024,https://apellica.com/insurer-denial-rates/oklahoma/unitedhealthcare-of-oklahoma-inc
Quartz Health Benefit Plans Corporation,WI,57350,204,3.5571054925893635,0.4804,,,2024,https://apellica.com/insurer-denial-rates/wisconsin/quartz-health-benefit-plans-corporation
"SelectHealth, Inc.",UT,1571221,5422,3.450819458242984,0.2706,119,0.4454,2024,https://apellica.com/insurer-denial-rates/utah/selecthealth-inc
UnitedHealthcare Insurance Company,TN,446509,1483,3.3213216306950137,0.3169,,,2024,https://apellica.com/insurer-denial-rates/tennessee/unitedhealthcare-insurance-company
Medical Health Insuring Corp. of Ohio,OH,198720,657,3.306159420289855,0.6408,21,,2024,https://apellica.com/insurer-denial-rates/ohio/medical-health-insuring-corp-of-ohio
"UnitedHealthcare Community Plan, Inc.",MI,204912,671,3.27457640352932,0.237,0,0,2024,https://apellica.com/insurer-denial-rates/michigan/unitedhealthcare-community-plan-inc
Blue Cross Blue Shield of Oklahoma,OK,1385537,4404,3.178550987811946,0.2963,50,0.44,2024,https://apellica.com/insurer-denial-rates/oklahoma/blue-cross-blue-shield-of-oklahoma
"UnitedHealthcare of Mississippi, Inc.",MS,67514,196,2.903101578931777,0.3112,0,0,2024,https://apellica.com/insurer-denial-rates/mississippi/unitedhealthcare-of-mississippi-inc
Blue Cross and Blue Shield of Kansas City,MO,31697,91,2.8709341578067322,0.3297,0,0,2024,https://apellica.com/insurer-denial-rates/missouri/blue-cross-and-blue-shield-of-kansas-city
Community Insurance Company(Anthem BCBS),OH,294314,841,2.8574923381150743,0.2675,,,2024,https://apellica.com/insurer-denial-rates/ohio/community-insurance-company-anthem-bcbs
CommunityCare HMO Inc.,OK,74500,204,2.738255033557047,0.5049,,,2024,https://apellica.com/insurer-denial-rates/oklahoma/communitycare-hmo-inc
Molina Healthcare of Utah,UT,28618,78,2.7255573415333005,0.7179,0,0,2024,https://apellica.com/insurer-denial-rates/utah/molina-healthcare-of-utah
Medica Health Plans,ND,15098,40,2.6493575307987816,0.375,0,0,2024,https://apellica.com/insurer-denial-rates/north-dakota/medica-health-plans
Medica Community Health Plan,WI,87505,227,2.594137477858408,0.5463,0,0,2024,https://apellica.com/insurer-denial-rates/wisconsin/medica-community-health-plan
Matthew Thornton Hlth Plan(Anthem BCBS),NH,153654,396,2.5772189464641335,0.4192,0,0,2024,https://apellica.com/insurer-denial-rates/new-hampshire/matthew-thornton-hlth-plan-anthem-bcbs
Medica Insurance Company,NE,281819,720,2.55483129242528,0.4931,11,,2024,https://apellica.com/insurer-denial-rates/nebraska/medica-insurance-company
UnitedHealthcare Insurance Company,AL,1073259,2741,2.553903577794363,0.3845,,,2024,https://apellica.com/insurer-denial-rates/alabama/unitedhealthcare-insurance-company
